titulo,fecha,universidad,categoria,ubicacion,hora,url_origen
Simposio: Transformación Digital,2024-12-30,UNMSM,Ingeniería y Tecnología,Campus Principal,14:00,https://www.unmsm.edu.pe/eventos/ejemplo
Feria de Investigación: Inteligencia Artificial,2024-12-30,UNSAAC,Ciencias Sociales,Campus Principal,11:00,https://www.unsaac.edu.pe/eventos/ejemplo
Conferencia Internacional: Transformación Digital,2024-12-29,UIGV,Arquitectura y Diseño,Campus Principal,8:00,https://www.uigv.edu.pe/eventos/ejemplo
Simposio: Blockchain,2024-12-29,UNP,Arquitectura y Diseño,Campus Principal,8:00,https://www.unp.edu.pe/eventos/ejemplo
Simposio: Desarrollo Sostenible,2024-12-28,UPCH,Ciencias Empresariales,Campus Principal,14:00,https://www.upch.edu.pe/eventos/ejemplo
Congreso Nacional: Biotecnología,2024-12-28,UNT,Ciencias de la Salud,Campus Principal,16:00,https://www.unt.edu.pe/eventos/ejemplo
Congreso Nacional: Industria 4.0,2024-12-28,UCSP,Ciencias de la Salud,Campus Principal,18:00,https://www.ucsp.edu.pe/eventos/ejemplo
Conferencia Internacional: Biotecnología,2024-12-27,UNPRG,Ciencias Empresariales,Campus Principal,13:00,https://www.unprg.edu.pe/eventos/ejemplo
Congreso Nacional: Inteligencia Artificial,2024-12-27,UAP,Ingeniería y Tecnología,Campus Principal,11:00,https://www.uap.edu.pe/eventos/ejemplo
Seminario Especializado: Transformación Digital,2024-12-27,UNAP,Ingeniería y Tecnología,Campus Principal,10:00,https://www.unap.edu.pe/eventos/ejemplo
Hackathon: Innovación y Emprendimiento,2024-12-26,UNT,Arquitectura y Diseño,Campus Principal,11:00,https://www.unt.edu.pe/eventos/ejemplo
Hackathon: Industria 4.0,2024-12-26,ULIMA,Ciencias Empresariales,Campus Principal,11:00,https://www.ulima.edu.pe/eventos/ejemplo
Congreso Nacional: Transformación Digital,2024-12-24,UNA,Humanidades,Campus Principal,10:00,https://www.una.edu.pe/eventos/ejemplo
Workshop Internacional: Blockchain,2024-12-24,UNCP,Arquitectura y Diseño,Campus Principal,11:00,https://www.uncp.edu.pe/eventos/ejemplo
Taller Práctico: Inteligencia Artificial,2024-12-24,UCSUR,Humanidades,Campus Principal,18:00,https://www.ucsur.edu.pe/eventos/ejemplo
Feria de Investigación: Innovación y Emprendimiento,2024-12-23,UNI,Ciencias Empresariales,Campus Principal,11:00,https://www.uni.edu.pe/eventos/ejemplo
Simposio: Industria 4.0,2024-12-23,UNPRG,Ciencias Sociales,Campus Principal,16:00,https://www.unprg.edu.pe/eventos/ejemplo
Conferencia Internacional: Inteligencia Artificial,2024-12-22,UAP,Ingeniería y Tecnología,Campus Principal,13:00,https://www.uap.edu.pe/eventos/ejemplo
Simposio: Innovación y Emprendimiento,2024-12-21,UNSA,Ciencias de la Salud,Campus Principal,18:00,https://www.unsa.edu.pe/eventos/ejemplo
Congreso Nacional: Blockchain,2024-12-20,USIL,Humanidades,Campus Principal,16:00,https://www.usil.edu.pe/eventos/ejemplo
Taller Práctico: Transformación Digital,2024-12-20,UCV,Humanidades,Campus Principal,11:00,https://www.ucv.edu.pe/eventos/ejemplo
Seminario Especializado: Transformación Digital,2024-12-20,UCV,Ciencias de la Salud,Campus Principal,11:00,https://www.ucv.edu.pe/eventos/ejemplo
